episode_id,scenario_name,config_name,pedestrian_mode,seed,dropout_prob,outcome,duration_s,wall_s,path_length_m,min_human_distance_m,intervention_count_total,intervention_count_cause_0,intervention_count_cause_1,intervention_count_cause_2,intervention_count_cause_3,intervention_count_cause_4,intervention_count_cause_5,intervention_count_cause_6,intervention_count_cause_7
noise_sweep_dropout0.0_seed3,open_arena,policy_supervised,reactive,3,0.0,success,71.8,79.83331868900132,5.3391514965924705,0.4410520628523355,59,0,59,0,0,0,0,0,0
noise_sweep_dropout0.0_seed4,open_arena,policy_supervised,reactive,4,0.0,success,15.4,23.404131399998732,4.970898960471785,0.4638074075050445,13,0,13,0,0,0,0,0,0
noise_sweep_dropout0.0_seed5,open_arena,policy_supervised,reactive,5,0.0,collision,13.91,21.84089771300205,4.26452788183882,0.380845414041242,7,0,7,0,0,0,0,0,0
noise_sweep_dropout0.0_seed6,open_arena,policy_supervised,reactive,6,0.0,success,15.8,23.816431191000447,5.819814494749386,0.4251474244044288,13,0,13,0,0,0,0,0,0
noise_sweep_dropout0.0_seed7,open_arena,policy_supervised,reactive,7,0.0,collision,4.5,12.468229509002413,0.18533323509865168,0.3690414284871132,1,0,1,0,0,0,0,0,0
noise_sweep_dropout0.1_seed0,open_arena,policy_supervised,reactive,0,0.1,success,108.2,116.1548619630048,4.168375474624127,0.4315521233601093,344,0,169,0,0,175,0,0,0
noise_sweep_dropout0.1_seed1,open_arena,policy_supervised,reactive,1,0.1,success,82.2,90.18289393099985,4.0517364401433245,0.44523130181807885,269,0,142,0,0,127,0,0,0
noise_sweep_dropout0.1_seed2,open_arena,policy_supervised,reactive,2,0.1,success,73.4,81.49019987299835,4.266221791934393,0.45344659513143876,213,0,98,0,0,115,0,0,0
noise_sweep_dropout0.1_seed3,open_arena,policy_supervised,reactive,3,0.1,collision,59.35,67.51021405899519,3.79650068279374,0.3860257085642883,189,0,67,0,0,122,0,0,0
noise_sweep_dropout0.1_seed4,open_arena,policy_supervised,reactive,4,0.1,success,55.0,62.899166076000256,4.114386431793218,0.4560238746195088,154,0,64,0,0,90,0,0,0
noise_sweep_dropout0.1_seed5,open_arena,policy_supervised,reactive,5,0.1,success,68.4,76.37186907199793,4.555235053987819,0.4695559188023172,213,0,66,0,0,147,0,0,0
